代,下の名前,ふりがな,生年,没年,在位期間,主な実績,Wikipediaリンク,肖像リンク
1,家康,いえやす,1543,1616,1603-1605,関ヶ原の戦いに勝利し江戸幕府を開く,https://ja.wikipedia.org/wiki/徳川家康,https://code4fukui.github.io/tokugawa15/img/1.jpg
2,秀忠,ひでただ,1579,1632,1605-1623,大坂の陣で豊臣家を滅ぼす,https://ja.wikipedia.org/wiki/徳川秀忠,https://code4fukui.github.io/tokugawa15/img/2.jpg
3,家光,いえみつ,1604,1651,1623-1651,参勤交代制度を整備・鎖国政策を本格化,https://ja.wikipedia.org/wiki/徳川家光,https://code4fukui.github.io/tokugawa15/img/3.jpg
4,家綱,いえつな,1641,1680,1651-1680,文治政治の開始・由井正雪の乱を鎮圧,https://ja.wikipedia.org/wiki/徳川家綱,https://code4fukui.github.io/tokugawa15/img/4.jpg
5,綱吉,つなよし,1646,1709,1680-1709,生類憐みの令・湯島聖堂設立,https://ja.wikipedia.org/wiki/徳川綱吉,https://code4fukui.github.io/tokugawa15/img/5.jpg
6,家宣,いえのぶ,1662,1712,1709-1712,正徳の治・新井白石を登用,https://ja.wikipedia.org/wiki/徳川家宣,https://code4fukui.github.io/tokugawa15/img/6.jpg
7,家継,いえつぐ,1709,1716,1713-1716,幼少のため実質は側用人・新井白石が主導,https://ja.wikipedia.org/wiki/徳川家継,https://code4fukui.github.io/tokugawa15/img/7.jpg
8,吉宗,よしむね,1684,1751,1716-1745,享保の改革を実施・目安箱設置,https://ja.wikipedia.org/wiki/徳川吉宗,https://code4fukui.github.io/tokugawa15/img/8.jpg
9,家重,いえしげ,1711,1761,1745-1760,言語障害により政務は側用人中心,https://ja.wikipedia.org/wiki/徳川家重,https://code4fukui.github.io/tokugawa15/img/9.jpg
10,家治,いえはる,1737,1786,1760-1786,田沼意次を重用し経済政策推進,https://ja.wikipedia.org/wiki/徳川家治,https://code4fukui.github.io/tokugawa15/img/10.jpg
11,家斉,いえなり,1773,1841,1787-1837,文化文政時代を迎える・将軍在位最長,https://ja.wikipedia.org/wiki/徳川家斉,https://code4fukui.github.io/tokugawa15/img/11.jpg
12,家慶,いえよし,1793,1853,1837-1853,天保の改革実施・ペリー来航直前,https://ja.wikipedia.org/wiki/徳川家慶,https://code4fukui.github.io/tokugawa15/img/12.jpg
13,家定,いえさだ,1824,1858,1853-1858,体が弱く短命・日米和親条約締結,https://ja.wikipedia.org/wiki/徳川家定,https://code4fukui.github.io/tokugawa15/img/13.jpg
14,家茂,いえもち,1846,1866,1858-1866,公武合体推進・長州征討中に死去,https://ja.wikipedia.org/wiki/徳川家茂,https://code4fukui.github.io/tokugawa15/img/14.jpg
15,慶喜,よしのぶ,1837,1913,1866-1867,大政奉還を行い江戸幕府を終える,https://ja.wikipedia.org/wiki/徳川慶喜,https://code4fukui.github.io/tokugawa15/img/15.jpg
